ticker,alias,nome_do_ativo,categoria
Mitsubishi Estate Co Ltd,MITSUBISHI ESTATE CO LTD,9020.JP/JPY,Outros
East Japan Railway Co,EAST JAPAN RAILWAY CO,9432.JP/JPY,Outros
Nippon Telegraph & Tel Corp,NIPPON TELEGRAPH & TEL CORP,9433.JP/JPY,Outros
KDDI Corp,KDDI CORP,9501.JP/JPY,Outros
Tokyo Electric Power Co Holdings Inc,TOKYO ELECTRIC POWER CO HOLDINGS INC,9983.JP/JPY,Outros
Fast Retailing Co Ltd,FAST RETAILING CO LTD,9984.JP/JPY,Outros
Softbank Group Corp,SOFTBANK GROUP CORP,A.US/USD,Outros
AGILENT TECHNOLOGIES INC,AGILENT TECHNOLOGIES INC,A2A.IT/EUR,Outros
A2A Spa,A2A SPA,AA.US/USD,Outros
ALCOA INC,ALCOA INC,AABV.US/USD,Outros
AbbVie Inc,ABBVIE INC,AAL.GB/GBX,Outros
Anglo American PLC,ANGLO AMERICAN PLC,AAL.US/USD,Outros
AMERICAN AIRLINES GROUP INC,AMERICAN AIRLINES GROUP INC,AAP.US/USD,Outros
ADVANCE AUTO PARTS INC,ADVANCE AUTO PARTS INC,AAPL.US/USD,Outros
APPLE INC,APPLE INC,ABBN.CH/CHF,Outros
ABB Ltd,ABB LTD,ABEV.US/USD,Outros
Ambev S.A.,AMBEV S,ABF.GB/GBX,Outros
Associated British Foods PLC,ASSOCIATED BRITISH FOODS PLC,ABI.BE/EUR,Outros
Anheuser-Busch InBev NV,ANHEUSER-BUSCH INBEV NV,ABT.US/USD,Outros
ABBOTT LABORATORIES,ABBOTT LABORATORIES,AC.FR/EUR,Outros
Accor SA,ACCOR SA,ACA.FR/EUR,Outros
Credit Agricole SA,CREDIT AGRICOLE SA,ACGL.US/USD,Outros
ARCH CAPITAL GROUP LTD,ARCH CAPITAL GROUP LTD,ACM.US/USD,Outros
AECOM,AECOM,ACN.US/USD,Outros
ACCENTURE PLC-CL A,ACCENTURE PLC-CL A,ACS.ES/EUR,Outros
ACS Actividades de Construccion y Servicios SA,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,ACX.ES/EUR,Outros
Acerinox SA,ACERINOX SA,ADA/USD,Outros
Cardano vs US Dollar,CARDANO VS US DOLLAR,ADBE.US/USD,Outros
ADOBE SYSTEMS INC,ADOBE SYSTEMS INC,ADEN.CH/CHF,Outros
Adecco SA,ADECCO SA,ADI.US/USD,Outros
ANALOG DEVICES INC,ANALOG DEVICES INC,ADM.GB/GBX,Outros
Admiral Group PLC,ADMIRAL GROUP PLC,ADS.DE/EUR,Outros
Adidas AG,ADIDAS AG,ADSK.US/USD,Outros
AUTODESK INC,AUTODESK INC,AED/CNH,Outros
UAE Dirham vs Chinese Yuan,UAE DIRHAM VS CHINESE YUAN,AED/CZK,Outros
UAE Dirham vs Czech Koruna,UAE DIRHAM VS CZECH KORUNA,AED/HKD,Outros
UAE Dirham vs Hong Kong Dollar,UAE DIRHAM VS HONG KONG DOLLAR,AED/HUF,Outros
UAE Dirham vs Hungarian Forint,UAE DIRHAM VS HUNGARIAN FORINT,AED/JPY,Outros
UAE Dirham vs Yen,UAE DIRHAM VS YEN,AED/MXN,Outros
UAE Dirham vs Mexican Peso,UAE DIRHAM VS MEXICAN PESO,AED/RON,Outros
UAE Dirham vs Romanian Leu,UAE DIRHAM VS ROMANIAN LEU,AED/SAR,Outros
UAE Dirham vs Saudi Riyal,UAE DIRHAM VS SAUDI RIYAL,AED/THB,Outros
UAE Dirham vs Thai Baht,UAE DIRHAM VS THAI BAHT,AED/TRY,Outros
UAE Dirham vs Turkish Lira,UAE DIRHAM VS TURKISH LIRA,AED/ZAR,Outros
UAE Dirham vs Rand,UAE DIRHAM VS RAND,AENA.ES/EUR,Outros
Aena SA,AENA SA,AEP.US/USD,Outros
AMERICAN ELECTRIC POWER,AMERICAN ELECTRIC POWER,AF.FR/EUR,Outros
Air France-KLM,AIR FRANCE-KLM,AFG.US/USD,Outros
AMERICAN FINANCIAL GROUP INC,AMERICAN FINANCIAL GROUP INC,AGES.GB/GBX,Outros
iShares Ageing Population,ISHARES AGEING POPULATION,AGN.NL/EUR,Outros
Aegon NV,AEGON NV,AGNC.US/USD,Outros
AGNC INVESTMENT CORP,AGNC INVESTMENT CORP,AGS.BE/EUR,Outros
Ageas,AGEAS,AH.NL/EUR,Outros
Koninklijke Ahold Delhaize NV,KONINKLIJKE AHOLD DELHAIZE NV,AHT.GB/GBX,Outros
Ashtead Group PLC,ASHTEAD GROUP PLC,AI.FR/EUR,Outros
Air Liquide SA,AIR LIQUIDE SA,AIAI.GB/USD,Outros
L&G Artificial Intelligence,L&G ARTIFICIAL INTELLIGENCE,AIG.US/USD,Outros
AMERICAN INTERNATIONAL GROUP,AMERICAN INTERNATIONAL GROUP,AIR.FR/EUR,Outros
Airbus Group SE,AIRBUS GROUP SE,AJG.US/USD,Outros
ARTHUR J GALLAGHER & CO,ARTHUR J GALLAGHER & CO,AKZA.NL/EUR,Outros
Akzo Nobel NV,AKZO NOBEL NV,ALB.US/USD,Outros
ALBEMARLE CORP,ALBEMARLE CORP,ALFA.SE/SEK,Outros
Alfa Laval AB,ALFA LAVAL AB,ALFAA.MX/MXN,Outros
Alfa SA B A,ALFA SA B A,ALGN.US/USD,Outros
ALIGN TECHNOLOGY INC,ALIGN TECHNOLOGY INC,ALK.US/USD,Outros
ALASKA AIR GROUP INC,ALASKA AIR GROUP INC,ALKS.US/USD,Outros
ALKERMES PLC,ALKERMES PLC,ALL.US/USD,Outros
ALLSTATE CORP,ALLSTATE CORP,ALLE.US/USD,Outros
ALLEGION PLC,ALLEGION PLC,ALLY.US/USD,Outros
ALLY FINANCIAL INC,ALLY FINANCIAL INC,ALO.FR/EUR,Outros
Alstom SA,ALSTOM SA,ALSEA.MX/MXN,Outros
Alsea SAB de CV,ALSEA SAB DE CV,ALV.DE/EUR,Outros
Allianz SE,ALLIANZ SE,AMAT.US/USD,Outros
APPLIED MATERIALS INC,APPLIED MATERIALS INC,AMCR.US/USD,Outros
AMCOR PLC,AMCOR PLC,AMD.US/USD,Outros
ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES,AMGN.US/USD,Outros
AMGEN INC,AMGEN INC,AMH.US/USD,Outros
AMERICAN HOMES 4 RENT- A,AMERICAN HOMES 4 RENT- A,AMP.IT/EUR,Outros
Amplifon Spa,AMPLIFON SPA,AMP.US/USD,Outros
AMERIPRISE FINANCIAL INC,AMERIPRISE FINANCIAL INC,AMS.ES/EUR,Outros
Amadeus IT Holding SA,AMADEUS IT HOLDING SA,AMT.US/USD,Outros
AMERICAN TOWER CORP,AMERICAN TOWER CORP,AMWL.US/USD,Outros
American Well Corp. (Class A),AMERICAN WELL CORP,AMXL.MX/MXN,Outros
America Movil SAB de C SERL,AMERICA MOVIL SAB DE C SERL,AMZN.US/USD,Outros
AMAZON.COM INC,AMAZON,ANET.US/USD,Outros
ANSS.US/USD,ANSS,ANTO.GB/GBX,Outros
Antofagasta PLC,ANTOFAGASTA PLC,AON.US/USD,Outros
AON PLC-CLASS A,AON PLC-CLASS A,AOS.US/USD,Outros
SMITH (A.O.) CORP,SMITH (A,APA.US/USD,Outros
APACHE CORP,APACHE CORP,APD.US/USD,Outros
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC,APP.ES/EUR,Outros
APTV.US/USD,APTV,AR.US/USD,Outros
ANTERO RESOURCES CORP,ANTERO RESOURCES CORP,ARCA.MX/MXN,Outros
Arca Continental SAB de CV,ARCA CONTINENTAL SAB DE CV,ARE.US/USD,Outros
ALEXANDRIA REAL ESTATE EQUIT,ALEXANDRIA REAL ESTATE EQUIT,ARKI.US/USD,Outros
ARK Artificial Intelligence & Robotics UCITS ETF,ARK ARTIFICIAL INTELLIGENCE & ROBOTICS UCITS ETF,ARKQ.US/USD,Outros
ARK Atunonomous Technology & Robotics,ARK ATUNONOMOUS TECHNOLOGY & ROBOTICS,ARKX.US/USD,Outros
ARK Space exporation & INNO,ARK SPACE EXPORATION & INNO,ARMK.US/USD,Outros
ARAMARK,ARAMARK,ARW.US/USD,Outros
ARROW ELECTRONICS INC,ARROW ELECTRONICS INC,ASML.NL/EUR,Outros
ASML Holding NV,ASML HOLDING NV,ASURB.MX/MXN,Outros
Grupo Aeroportuario del Sureste,GRUPO AEROPORTUARIO DEL SURESTE,ATCOA.SE/SEK,Outros
